

Microchip MPLAB XC8 Assembler V2.32 build 20210201212658 
                                                                                               Wed Jun 23 14:38:42 2021

Microchip MPLAB XC8 C Compiler v2.32 (Free license) build 20210201212658 Og1 
     1                           	processor	16F877A
     2                           	pagewidth 120
     3                           	opt	flic
     4                           	psect	cinit,global,class=CODE,merge=1,delta=2
     5                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1,noexec
     6                           	psect	cstackBANK0,global,class=BANK0,space=1,delta=1,noexec
     7                           	psect	maintext,global,class=CODE,split=1,delta=2
     8                           	psect	text1,local,class=CODE,merge=1,delta=2,group=1
     9                           	psect	text2,local,class=CODE,merge=1,delta=2,group=1
    10                           	psect	text3,local,class=CODE,merge=1,delta=2,group=1
    11                           	psect	text4,local,class=CODE,merge=1,delta=2,group=1
    12                           	psect	text5,local,class=CODE,merge=1,delta=2
    13                           	psect	text6,local,class=CODE,merge=1,delta=2,group=1
    14                           	psect	text7,local,class=CODE,merge=1,delta=2
    15                           	psect	config,global,abs,ovrld,class=CONFIG,space=4,delta=2,noexec
    16                           	dabs	1,0x7E,2
    17  0000                     
    18                           ; Version 2.20
   152  0089                     	;# 
   153  008C                     	;# 
   154  008D                     	;# 
   155  008E                     	;# 
   156  0091                     	;# 
   157  0092                     	;# 
   158  0093                     	;# 
   159  0094                     	;# 
   160  0098                     	;# 
   161  0099                     	;# 
   162  009C                     	;# 
   163  009D                     	;# 
   164  009E                     	;# 
   165  009F                     	;# 
   166  010C                     	;# 
   167  010D                     	;# 
   168  010E                     	;# 
   169  010F                     	;# 
   170  018C                     	;# 
   171  018D                     	;# 
   172  0008                     _PORTDbits	set	8
   173  001E                     _ADRESH	set	30
   174  001F                     _ADCON0	set	31
   175  00FA                     _GO_nDONE	set	250
   176  0085                     _TRISAbits	set	133
   177  0088                     _TRISD	set	136
   178  009E                     _ADRESL	set	158
   179  009F                     _ADCON1	set	159
   180                           
   181                           	psect	cinit
   182  07FC                     start_initialization:	
   183                           ; #config settings
   184                           
   185  07FC                     __initialization:
   186  07FC                     end_of_initialization:	
   187                           ;End of C runtime variable initialization code
   188                           
   189  07FC                     __end_of__initialization:
   190  07FC  0183               	clrf	3
   191  07FD  120A  118A  28DC   	ljmp	_main	;jump to C main() function
   192                           
   193                           	psect	cstackCOMMON
   194  0070                     __pcstackCOMMON:
   195  0070                     ?___flge:
   196  0070                     ?_ADC_init:	
   197                           ; 1 bit 
   198                           
   199  0070                     ??_ADC_init:	
   200                           ; 1 bytes @ 0x0
   201                           
   202  0070                     ?_main:	
   203                           ; 1 bytes @ 0x0
   204                           
   205  0070                     ?__Umul8_16:	
   206                           ; 1 bytes @ 0x0
   207                           
   208  0070                     ?___xxtofl:	
   209                           ; 2 bytes @ 0x0
   210                           
   211  0070                     __Umul8_16@multiplicand:	
   212                           ; 4 bytes @ 0x0
   213                           
   214  0070                     ___flge@ff1:	
   215                           ; 1 bytes @ 0x0
   216                           
   217  0070                     ___xxtofl@val:	
   218                           ; 4 bytes @ 0x0
   219                           
   220                           
   221                           ; 4 bytes @ 0x0
   222  0070                     	ds	2
   223  0072                     ??__Umul8_16:
   224                           
   225                           ; 1 bytes @ 0x2
   226  0072                     	ds	2
   227  0074                     ??___xxtofl:
   228  0074                     __Umul8_16@product:	
   229                           ; 1 bytes @ 0x4
   230                           
   231  0074                     ___flge@ff2:	
   232                           ; 2 bytes @ 0x4
   233                           
   234                           
   235                           ; 4 bytes @ 0x4
   236  0074                     	ds	2
   237  0076                     __Umul8_16@word_mpld:
   238                           
   239                           ; 2 bytes @ 0x6
   240  0076                     	ds	2
   241  0078                     ??___flge:
   242  0078                     __Umul8_16@multiplier:	
   243                           ; 1 bytes @ 0x8
   244                           
   245  0078                     ___xxtofl@sign:	
   246                           ; 1 bytes @ 0x8
   247                           
   248                           
   249                           ; 1 bytes @ 0x8
   250  0078                     	ds	1
   251  0079                     ??___flmul:
   252  0079                     ___xxtofl@exp:	
   253                           ; 1 bytes @ 0x9
   254                           
   255                           
   256                           ; 1 bytes @ 0x9
   257  0079                     	ds	1
   258  007A                     ___xxtofl@arg:
   259                           
   260                           ; 4 bytes @ 0xA
   261  007A                     	ds	4
   262  007E                     ??_main:
   263                           
   264                           	psect	cstackBANK0
   265  0020                     __pcstackBANK0:	
   266                           ; 1 bytes @ 0xE
   267                           
   268  0020                     ?_ADC_readChannel:
   269  0020                     ?___flmul:	
   270                           ; 4 bytes @ 0x0
   271                           
   272  0020                     ADC_readChannel@channel:	
   273                           ; 4 bytes @ 0x0
   274                           
   275  0020                     ___flmul@b:	
   276                           ; 2 bytes @ 0x0
   277                           
   278                           
   279                           ; 4 bytes @ 0x0
   280  0020                     	ds	4
   281  0024                     ??_ADC_readChannel:
   282  0024                     ___flmul@a:	
   283                           ; 1 bytes @ 0x4
   284                           
   285                           
   286                           ; 4 bytes @ 0x4
   287  0024                     	ds	4
   288  0028                     ___flmul@sign:
   289                           
   290                           ; 1 bytes @ 0x8
   291  0028                     	ds	1
   292  0029                     ___flmul@grs:
   293                           
   294                           ; 4 bytes @ 0x9
   295  0029                     	ds	4
   296  002D                     ___flmul@aexp:
   297                           
   298                           ; 1 bytes @ 0xD
   299  002D                     	ds	1
   300  002E                     ___flmul@bexp:
   301                           
   302                           ; 1 bytes @ 0xE
   303  002E                     	ds	1
   304  002F                     ___flmul@prod:
   305                           
   306                           ; 4 bytes @ 0xF
   307  002F                     	ds	4
   308  0033                     ___flmul@temp:
   309                           
   310                           ; 2 bytes @ 0x13
   311  0033                     	ds	2
   312  0035                     ?___fldiv:
   313  0035                     ___fldiv@a:	
   314                           ; 4 bytes @ 0x15
   315                           
   316                           
   317                           ; 4 bytes @ 0x15
   318  0035                     	ds	4
   319  0039                     ___fldiv@b:
   320                           
   321                           ; 4 bytes @ 0x19
   322  0039                     	ds	4
   323  003D                     ??___fldiv:
   324                           
   325                           ; 1 bytes @ 0x1D
   326  003D                     	ds	5
   327  0042                     ___fldiv@rem:
   328                           
   329                           ; 4 bytes @ 0x22
   330  0042                     	ds	4
   331  0046                     ___fldiv@sign:
   332                           
   333                           ; 1 bytes @ 0x26
   334  0046                     	ds	1
   335  0047                     ___fldiv@new_exp:
   336                           
   337                           ; 2 bytes @ 0x27
   338  0047                     	ds	2
   339  0049                     ___fldiv@grs:
   340                           
   341                           ; 4 bytes @ 0x29
   342  0049                     	ds	4
   343  004D                     ___fldiv@bexp:
   344                           
   345                           ; 1 bytes @ 0x2D
   346  004D                     	ds	1
   347  004E                     ___fldiv@aexp:
   348                           
   349                           ; 1 bytes @ 0x2E
   350  004E                     	ds	1
   351  004F                     main@adc_input:
   352                           
   353                           ; 4 bytes @ 0x2F
   354  004F                     	ds	4
   355  0053                     main@vout:
   356                           
   357                           ; 4 bytes @ 0x33
   358  0053                     	ds	4
   359                           
   360                           	psect	maintext
   361  00DC                     __pmaintext:	
   362 ;;
   363 ;;Main: autosize = 0, tempsize = 0, incstack = 0, save=0
   364 ;;
   365 ;; *************** function _main *****************
   366 ;; Defined at:
   367 ;;		line 26 in file "ldr_sensor.c"
   368 ;; Parameters:    Size  Location     Type
   369 ;;		None
   370 ;; Auto vars:     Size  Location     Type
   371 ;;  vout            4   51[BANK0 ] 
   372 ;;  adc_input       4   47[BANK0 ] 
   373 ;; Return value:  Size  Location     Type
   374 ;;                  1    wreg      void 
   375 ;; Registers used:
   376 ;;		wreg, status,2, status,0, btemp+1, pclath, cstack
   377 ;; Tracked objects:
   378 ;;		On entry : B00/0
   379 ;;		On exit  : 0/0
   380 ;;		Unchanged: 0/0
   381 ;; Data sizes:     COMMON   BANK0   BANK1   BANK3   BANK2
   382 ;;      Params:         0       0       0       0       0
   383 ;;      Locals:         0       8       0       0       0
   384 ;;      Temps:          0       0       0       0       0
   385 ;;      Totals:         0       8       0       0       0
   386 ;;Total ram usage:        8 bytes
   387 ;; Hardware stack levels required when called: 2
   388 ;; This function calls:
   389 ;;		_ADC_init
   390 ;;		_ADC_readChannel
   391 ;;		___fldiv
   392 ;;		___flge
   393 ;;		___flmul
   394 ;; This function is called by:
   395 ;;		Startup code after reset
   396 ;; This function uses a non-reentrant model
   397 ;;
   398                           
   399                           
   400                           ;psect for function _main
   401  00DC                     _main:
   402  00DC                     l1420:	
   403                           ;incstack = 0
   404                           ; Regs used in _main: [wreg+status,2+status,0+btemp+1+pclath+cstack]
   405                           
   406  00DC  3000               	movlw	0
   407  00DD  1283               	bcf	3,5	;RP0=0, select bank0
   408  00DE  1303               	bcf	3,6	;RP1=0, select bank0
   409  00DF  00D6               	movwf	main@vout+3
   410  00E0  3000               	movlw	0
   411  00E1  00D5               	movwf	main@vout+2
   412  00E2  3000               	movlw	0
   413  00E3  00D4               	movwf	main@vout+1
   414  00E4  3000               	movlw	0
   415  00E5  00D3               	movwf	main@vout
   416  00E6                     l1422:
   417                           
   418                           ;ldr_sensor.c: 28:     TRISD = 0;
   419  00E6  1683               	bsf	3,5	;RP0=1, select bank1
   420  00E7  1303               	bcf	3,6	;RP1=0, select bank1
   421  00E8  0188               	clrf	8	;volatile
   422  00E9                     l1424:
   423                           
   424                           ;ldr_sensor.c: 29:     PORTDbits.RD0 = 0;
   425  00E9  1283               	bcf	3,5	;RP0=0, select bank0
   426  00EA  1303               	bcf	3,6	;RP1=0, select bank0
   427  00EB  1008               	bcf	8,0	;volatile
   428  00EC                     l1426:
   429                           
   430                           ;ldr_sensor.c: 30:     TRISAbits.TRISA0 = 1;
   431  00EC  1683               	bsf	3,5	;RP0=1, select bank1
   432  00ED  1303               	bcf	3,6	;RP1=0, select bank1
   433  00EE  1405               	bsf	5,0	;volatile
   434  00EF                     l1428:
   435                           
   436                           ;ldr_sensor.c: 31:     ADC_init();
   437  00EF  120A  118A  204D  120A  118A  	fcall	_ADC_init
   438  00F4                     l1430:
   439                           
   440                           ;ldr_sensor.c: 33:         adc_input = ADC_readChannel(0);
   441  00F4  3000               	movlw	0
   442  00F5  1283               	bcf	3,5	;RP0=0, select bank0
   443  00F6  1303               	bcf	3,6	;RP1=0, select bank0
   444  00F7  00A0               	movwf	ADC_readChannel@channel
   445  00F8  00A1               	movwf	ADC_readChannel@channel+1
   446  00F9  120A  118A  207D  120A  118A  	fcall	_ADC_readChannel
   447  00FE  1283               	bcf	3,5	;RP0=0, select bank0
   448  00FF  1303               	bcf	3,6	;RP1=0, select bank0
   449  0100  0823               	movf	?_ADC_readChannel+3,w
   450  0101  00D2               	movwf	main@adc_input+3
   451  0102  0822               	movf	?_ADC_readChannel+2,w
   452  0103  00D1               	movwf	main@adc_input+2
   453  0104  0821               	movf	?_ADC_readChannel+1,w
   454  0105  00D0               	movwf	main@adc_input+1
   455  0106  0820               	movf	?_ADC_readChannel,w
   456  0107  00CF               	movwf	main@adc_input
   457  0108                     l1432:
   458                           
   459                           ;ldr_sensor.c: 34:         vout = adc_input * 5000.0f / 1023;
   460  0108  3044               	movlw	68
   461  0109  00B8               	movwf	___fldiv@a+3
   462  010A  307F               	movlw	127
   463  010B  00B7               	movwf	___fldiv@a+2
   464  010C  30C0               	movlw	192
   465  010D  00B6               	movwf	___fldiv@a+1
   466  010E  3000               	movlw	0
   467  010F  00B5               	movwf	___fldiv@a
   468  0110  3045               	movlw	69
   469  0111  00A3               	movwf	___flmul@b+3
   470  0112  309C               	movlw	156
   471  0113  00A2               	movwf	___flmul@b+2
   472  0114  3040               	movlw	64
   473  0115  00A1               	movwf	___flmul@b+1
   474  0116  3000               	movlw	0
   475  0117  00A0               	movwf	___flmul@b
   476  0118  0852               	movf	main@adc_input+3,w
   477  0119  00A7               	movwf	___flmul@a+3
   478  011A  0851               	movf	main@adc_input+2,w
   479  011B  00A6               	movwf	___flmul@a+2
   480  011C  0850               	movf	main@adc_input+1,w
   481  011D  00A5               	movwf	___flmul@a+1
   482  011E  084F               	movf	main@adc_input,w
   483  011F  00A4               	movwf	___flmul@a
   484  0120  120A  118A  249B  120A  118A  	fcall	___flmul
   485  0125  1283               	bcf	3,5	;RP0=0, select bank0
   486  0126  1303               	bcf	3,6	;RP1=0, select bank0
   487  0127  0823               	movf	?___flmul+3,w
   488  0128  00BC               	movwf	___fldiv@b+3
   489  0129  0822               	movf	?___flmul+2,w
   490  012A  00BB               	movwf	___fldiv@b+2
   491  012B  0821               	movf	?___flmul+1,w
   492  012C  00BA               	movwf	___fldiv@b+1
   493  012D  0820               	movf	?___flmul,w
   494  012E  00B9               	movwf	___fldiv@b
   495  012F  120A  118A  22BE  120A  118A  	fcall	___fldiv
   496  0134  1283               	bcf	3,5	;RP0=0, select bank0
   497  0135  1303               	bcf	3,6	;RP1=0, select bank0
   498  0136  0838               	movf	?___fldiv+3,w
   499  0137  00D6               	movwf	main@vout+3
   500  0138  0837               	movf	?___fldiv+2,w
   501  0139  00D5               	movwf	main@vout+2
   502  013A  0836               	movf	?___fldiv+1,w
   503  013B  00D4               	movwf	main@vout+1
   504  013C  0835               	movf	?___fldiv,w
   505  013D  00D3               	movwf	main@vout
   506  013E                     l1434:
   507                           
   508                           ;ldr_sensor.c: 35:         if(vout > 4500){
   509  013E  3045               	movlw	69
   510  013F  00F3               	movwf	___flge@ff1+3
   511  0140  308C               	movlw	140
   512  0141  00F2               	movwf	___flge@ff1+2
   513  0142  30A0               	movlw	160
   514  0143  00F1               	movwf	___flge@ff1+1
   515  0144  3000               	movlw	0
   516  0145  00F0               	movwf	___flge@ff1
   517  0146  0856               	movf	main@vout+3,w
   518  0147  00F7               	movwf	___flge@ff2+3
   519  0148  0855               	movf	main@vout+2,w
   520  0149  00F6               	movwf	___flge@ff2+2
   521  014A  0854               	movf	main@vout+1,w
   522  014B  00F5               	movwf	___flge@ff2+1
   523  014C  0853               	movf	main@vout,w
   524  014D  00F4               	movwf	___flge@ff2
   525  014E  120A  118A  2162  120A  118A  	fcall	___flge
   526  0153  1803               	btfsc	3,0
   527  0154  2956               	goto	u1881
   528  0155  2957               	goto	u1880
   529  0156                     u1881:
   530  0156  295B               	goto	l34
   531  0157                     u1880:
   532  0157                     l1436:
   533                           
   534                           ;ldr_sensor.c: 36:             PORTDbits.RD0 = 1;
   535  0157  1283               	bcf	3,5	;RP0=0, select bank0
   536  0158  1303               	bcf	3,6	;RP1=0, select bank0
   537  0159  1408               	bsf	8,0	;volatile
   538                           
   539                           ;ldr_sensor.c: 37:         } else {
   540  015A  28F4               	goto	l1430
   541  015B                     l34:
   542                           
   543                           ;ldr_sensor.c: 38:             PORTDbits.RD0 = 0;
   544  015B  1283               	bcf	3,5	;RP0=0, select bank0
   545  015C  1303               	bcf	3,6	;RP1=0, select bank0
   546  015D  1008               	bcf	8,0	;volatile
   547  015E  28F4               	goto	l1430
   548  015F  120A  118A  2800   	ljmp	start
   549  0162                     __end_of_main:
   550                           
   551                           	psect	text1
   552  049B                     __ptext1:	
   553 ;; *************** function ___flmul *****************
   554 ;; Defined at:
   555 ;;		line 8 in file "C:\Program Files\Microchip\xc8\v2.32\pic\sources\c90\common\sprcmul.c"
   556 ;; Parameters:    Size  Location     Type
   557 ;;  b               4    0[BANK0 ] void 
   558 ;;  a               4    4[BANK0 ] void 
   559 ;; Auto vars:     Size  Location     Type
   560 ;;  prod            4   15[BANK0 ] struct .
   561 ;;  grs             4    9[BANK0 ] unsigned long 
   562 ;;  temp            2   19[BANK0 ] struct .
   563 ;;  bexp            1   14[BANK0 ] unsigned char 
   564 ;;  aexp            1   13[BANK0 ] unsigned char 
   565 ;;  sign            1    8[BANK0 ] unsigned char 
   566 ;; Return value:  Size  Location     Type
   567 ;;                  4    0[BANK0 ] unsigned char 
   568 ;; Registers used:
   569 ;;		wreg, status,2, status,0, btemp+1, pclath, cstack
   570 ;; Tracked objects:
   571 ;;		On entry : 0/0
   572 ;;		On exit  : 0/0
   573 ;;		Unchanged: 0/0
   574 ;; Data sizes:     COMMON   BANK0   BANK1   BANK3   BANK2
   575 ;;      Params:         0       8       0       0       0
   576 ;;      Locals:         0      13       0       0       0
   577 ;;      Temps:          5       0       0       0       0
   578 ;;      Totals:         5      21       0       0       0
   579 ;;Total ram usage:       26 bytes
   580 ;; Hardware stack levels used: 1
   581 ;; Hardware stack levels required when called: 1
   582 ;; This function calls:
   583 ;;		__Umul8_16
   584 ;; This function is called by:
   585 ;;		_main
   586 ;; This function uses a non-reentrant model
   587 ;;
   588                           
   589                           
   590                           ;psect for function ___flmul
   591  049B                     ___flmul:
   592  049B                     l1280:	
   593                           ;incstack = 0
   594                           ; Regs used in ___flmul: [wreg+status,2+status,0+btemp+1+pclath+cstack]
   595                           
   596  049B  1283               	bcf	3,5	;RP0=0, select bank0
   597  049C  1303               	bcf	3,6	;RP1=0, select bank0
   598  049D  0823               	movf	___flmul@b+3,w
   599  049E  3980               	andlw	128
   600  049F  00F9               	movwf	??___flmul
   601  04A0  0879               	movf	??___flmul,w
   602  04A1  00A8               	movwf	___flmul@sign
   603  04A2                     l1282:
   604  04A2  0823               	movf	___flmul@b+3,w
   605  04A3  00F9               	movwf	??___flmul
   606  04A4  0779               	addwf	??___flmul,w
   607  04A5  00FA               	movwf	??___flmul+1
   608  04A6  087A               	movf	??___flmul+1,w
   609  04A7  00AE               	movwf	___flmul@bexp
   610  04A8                     l1284:
   611  04A8  1FA2               	btfss	___flmul@b+2,7
   612  04A9  2CAB               	goto	u1511
   613  04AA  2CAC               	goto	u1510
   614  04AB                     u1511:
   615  04AB  2CAD               	goto	l1288
   616  04AC                     u1510:
   617  04AC                     l1286:
   618  04AC  142E               	bsf	___flmul@bexp,0
   619  04AD                     l1288:
   620  04AD  082E               	movf	___flmul@bexp,w
   621  04AE  1903               	btfsc	3,2
   622  04AF  2CB1               	goto	u1521
   623  04B0  2CB2               	goto	u1520
   624  04B1                     u1521:
   625  04B1  2CC1               	goto	l1296
   626  04B2                     u1520:
   627  04B2                     l1290:
   628  04B2  0A2E               	incf	___flmul@bexp,w
   629  04B3  1D03               	btfss	3,2
   630  04B4  2CB6               	goto	u1531
   631  04B5  2CB7               	goto	u1530
   632  04B6                     u1531:
   633  04B6  2CBF               	goto	l1294
   634  04B7                     u1530:
   635  04B7                     l1292:
   636  04B7  3000               	movlw	0
   637  04B8  00A3               	movwf	___flmul@b+3
   638  04B9  3000               	movlw	0
   639  04BA  00A2               	movwf	___flmul@b+2
   640  04BB  3000               	movlw	0
   641  04BC  00A1               	movwf	___flmul@b+1
   642  04BD  3000               	movlw	0
   643  04BE  00A0               	movwf	___flmul@b
   644  04BF                     l1294:
   645  04BF  17A2               	bsf	___flmul@b+2,7
   646  04C0  2CC9               	goto	l1298
   647  04C1                     l1296:
   648  04C1  3000               	movlw	0
   649  04C2  00A3               	movwf	___flmul@b+3
   650  04C3  3000               	movlw	0
   651  04C4  00A2               	movwf	___flmul@b+2
   652  04C5  3000               	movlw	0
   653  04C6  00A1               	movwf	___flmul@b+1
   654  04C7  3000               	movlw	0
   655  04C8  00A0               	movwf	___flmul@b
   656  04C9                     l1298:
   657  04C9  0827               	movf	___flmul@a+3,w
   658  04CA  3980               	andlw	128
   659  04CB  00F9               	movwf	??___flmul
   660  04CC  0879               	movf	??___flmul,w
   661  04CD  06A8               	xorwf	___flmul@sign,f
   662  04CE                     l1300:
   663  04CE  0827               	movf	___flmul@a+3,w
   664  04CF  00F9               	movwf	??___flmul
   665  04D0  0779               	addwf	??___flmul,w
   666  04D1  00FA               	movwf	??___flmul+1
   667  04D2  087A               	movf	??___flmul+1,w
   668  04D3  00AD               	movwf	___flmul@aexp
   669  04D4                     l1302:
   670  04D4  1FA6               	btfss	___flmul@a+2,7
   671  04D5  2CD7               	goto	u1541
   672  04D6  2CD8               	goto	u1540
   673  04D7                     u1541:
   674  04D7  2CD9               	goto	l1306
   675  04D8                     u1540:
   676  04D8                     l1304:
   677  04D8  142D               	bsf	___flmul@aexp,0
   678  04D9                     l1306:
   679  04D9  082D               	movf	___flmul@aexp,w
   680  04DA  1903               	btfsc	3,2
   681  04DB  2CDD               	goto	u1551
   682  04DC  2CDE               	goto	u1550
   683  04DD                     u1551:
   684  04DD  2CED               	goto	l1314
   685  04DE                     u1550:
   686  04DE                     l1308:
   687  04DE  0A2D               	incf	___flmul@aexp,w
   688  04DF  1D03               	btfss	3,2
   689  04E0  2CE2               	goto	u1561
   690  04E1  2CE3               	goto	u1560
   691  04E2                     u1561:
   692  04E2  2CEB               	goto	l1312
   693  04E3                     u1560:
   694  04E3                     l1310:
   695  04E3  3000               	movlw	0
   696  04E4  00A7               	movwf	___flmul@a+3
   697  04E5  3000               	movlw	0
   698  04E6  00A6               	movwf	___flmul@a+2
   699  04E7  3000               	movlw	0
   700  04E8  00A5               	movwf	___flmul@a+1
   701  04E9  3000               	movlw	0
   702  04EA  00A4               	movwf	___flmul@a
   703  04EB                     l1312:
   704  04EB  17A6               	bsf	___flmul@a+2,7
   705  04EC  2CF5               	goto	l1316
   706  04ED                     l1314:
   707  04ED  3000               	movlw	0
   708  04EE  00A7               	movwf	___flmul@a+3
   709  04EF  3000               	movlw	0
   710  04F0  00A6               	movwf	___flmul@a+2
   711  04F1  3000               	movlw	0
   712  04F2  00A5               	movwf	___flmul@a+1
   713  04F3  3000               	movlw	0
   714  04F4  00A4               	movwf	___flmul@a
   715  04F5                     l1316:
   716  04F5  082D               	movf	___flmul@aexp,w
   717  04F6  1903               	btfsc	3,2
   718  04F7  2CF9               	goto	u1571
   719  04F8  2CFA               	goto	u1570
   720  04F9                     u1571:
   721  04F9  2CFF               	goto	l1320
   722  04FA                     u1570:
   723  04FA                     l1318:
   724  04FA  082E               	movf	___flmul@bexp,w
   725  04FB  1D03               	btfss	3,2
   726  04FC  2CFE               	goto	u1581
   727  04FD  2CFF               	goto	u1580
   728  04FE                     u1581:
   729  04FE  2D08               	goto	l1324
   730  04FF                     u1580:
   731  04FF                     l1320:
   732  04FF  3000               	movlw	0
   733  0500  00A3               	movwf	?___flmul+3
   734  0501  3000               	movlw	0
   735  0502  00A2               	movwf	?___flmul+2
   736  0503  3000               	movlw	0
   737  0504  00A1               	movwf	?___flmul+1
   738  0505  3000               	movlw	0
   739  0506  00A0               	movwf	?___flmul
   740  0507  2FFB               	goto	l513
   741  0508                     l1324:
